用户编码,登录地址,登录失败次数,登录成功率,时间范围分钟,每分钟失败比例,连续失败3次,浏览量真值,浏览量预测值
121,2886729749,7,0.86,9601.0,0.0007290907197166961,0,0,0
73,3232235784,18,0.6727272727272727,12433.0,0.0014477599935655112,0,0,0
72,3405803805,12,0.7818181818181819,12700.0,0.0009448818897637795,0,3,3
194,167772194,13,0.7346938775510204,12936.0,0.001004947433518862,0,0,0
66,3232235822,8,0.8367346938775511,26996.0,0.000296340198547933,0,0,0
48,167772198,9,0.8085106382978723,9732.0,0.0009247842170160296,0,0,0
78,167772192,6,0.8571428571428571,9934.0,0.0006039863096436481,0,0,0
150,2886729767,5,0.9038461538461539,9652.0,0.0005180273518441774,0,0,0
17,167772170,13,0.6176470588235294,9875.0,0.0013164556962025316,0,0,0
57,3232235823,24,0.625,26972.0,0.0008898116565327006,0,0,0
104,3232235798,11,0.8450704225352113,19279.0,0.0005705690129156076,0,0,0
184,3232235815,19,0.6984126984126984,27259.0,0.0006970174988077333,0,0,0
69,167772181,13,0.7547169811320755,9717.0,0.0013378614798806217,0,0,0
149,3405803809,10,0.8387096774193549,12804.0,0.000781005935645111,0,3,3
148,3405803797,10,0.84375,26864.0,0.00037224538415723646,0,3,3
143,3232235777,10,0.75,9352.0,0.00106928999144568,0,0,0
2,3405803816,9,0.8333333333333334,27344.0,0.0003291398478642481,0,3,3
95,2886729731,14,0.7142857142857143,26406.0,0.0005301825342725138,0,0,0
149,3232235814,10,0.8387096774193549,12804.0,0.000781005935645111,0,0,0
148,3405803814,10,0.84375,26864.0,0.00037224538415723646,0,3,3
26,3232235807,8,0.813953488372093,9762.0,0.0008195041999590248,0,0,0
20,3405803806,13,0.7592592592592593,27308.0,0.0004760509740735316,0,3,3
35,3405803807,9,0.7954545454545454,26868.0,0.00033497096918267083,0,3,3
62,167772179,11,0.7962962962962963,9754.0,0.0011277424646298955,0,0,0
196,167772189,14,0.7083333333333334,12752.0,0.001097867001254705,0,0,0
137,167772186,12,0.7551020408163265,9785.0,0.0012263668880940215,0,0,0
156,3232235809,15,0.7058823529411765,9745.0,0.0015392508978963571,0,0,0
200,3405803801,15,0.7321428571428571,9646.0,0.0015550487248600455,0,3,3
166,167772194,15,0.7,26933.0,0.0005569375858612112,0,0,0
81,2886729735,26,0.543859649122807,12949.0,0.0020078770561433317,0,0,0
46,167772181,13,0.723404255319149,9973.0,0.0013035195026571743,0,0,0
193,2886729737,11,0.828125,12945.0,0.0008497489378138278,0,0,0
112,3232235825,8,0.8431372549019608,9757.0,0.0008199241570154761,0,0,0
175,3405803788,8,0.8571428571428571,9244.0,0.0008654262224145391,0,3,3
22,3405803818,9,0.7428571428571429,9317.0,0.0009659761725877428,0,3,3
140,3232235777,8,0.8431372549019608,9326.0,0.0008578168561012224,0,0,0
57,2886729760,24,0.625,26972.0,0.0008898116565327006,0,0,0
168,3405803790,21,0.631578947368421,12922.0,0.0016251354279523294,0,3,3
72,167772163,12,0.7818181818181819,12700.0,0.0009448818897637795,0,0,0
65,3405803812,6,0.8421052631578947,9466.0,0.0006338474540460595,0,3,3
95,167772178,14,0.7142857142857143,26406.0,0.0005301825342725138,0,0,0
113,2886729757,12,0.7777777777777778,12964.0,0.0009256402344955261,0,0,0
22,3232235808,9,0.7428571428571429,9317.0,0.0009659761725877428,0,0,0
182,167772180,13,0.7346938775510204,9158.0,0.0014195239135182355,0,0,0
141,3405803781,7,0.8852459016393442,9787.0,0.0007152344947379177,0,3,3
92,2886729758,14,0.7083333333333334,9925.0,0.0014105793450881613,0,0,0
106,3232235794,9,0.7804878048780488,9599.0,0.0009375976664235858,0,0,0
92,3405803782,14,0.7083333333333334,9925.0,0.0014105793450881613,0,3,3
200,2886729744,15,0.7321428571428571,9646.0,0.0015550487248600455,0,0,0
51,167772186,8,0.8490566037735849,27364.0,0.00029235491887151,0,0,0
103,3232235823,10,0.8181818181818182,9101.0,0.001098780353807274,0,0,0
71,2886729730,10,0.7674418604651163,27314.0,0.00036611261624075567,0,0,0
75,3232235815,8,0.84,9454.0,0.0008462026655383964,0,0,0
42,2886729742,12,0.76,27274.0,0.0004399794676248442,0,0,0
11,2886729763,11,0.7708333333333334,9595.0,0.0011464304325169358,0,0,0
69,3232235808,13,0.7547169811320755,9717.0,0.0013378614798806217,0,0,0
97,2886729763,16,0.7142857142857143,12911.0,0.0012392533498567114,0,0,0
131,3232235815,13,0.7450980392156863,9922.0,0.0013102197137673855,0,0,0
93,167772193,13,0.7868852459016393,9499.0,0.001368565112117065,0,0,0
192,3232235800,13,0.8,9823.0,0.001323424615697852,0,0,0
64,3405803801,8,0.8490566037735849,9681.0,0.000826360913128809,0,3,3
36,167772201,12,0.7391304347826086,9480.0,0.0012658227848101266,0,0,0
94,2886729733,18,0.7,9767.0,0.0018429405139756322,0,0,0
125,167772209,13,0.75,9736.0,0.0013352506162695153,0,0,0
116,167772200,9,0.7906976744186046,9812.0,0.0009172441907867916,0,0,0
155,2886729745,19,0.6346153846153846,9614.0,0.001976284584980237,0,0,0
5,2886729744,11,0.7924528301886793,12551.0,0.0008764241893076249,0,0,0
144,2886729750,24,0.6307692307692307,12927.0,0.0018565792527268509,0,0,0
3,2886729776,11,0.75,9056.0,0.0012146643109540636,0,0,0
172,2886729754,7,0.875,27241.0,0.0002569656033185272,0,0,0
5,3405803802,11,0.7924528301886793,12551.0,0.0008764241893076249,0,3,3
81,167772170,26,0.543859649122807,12949.0,0.0020078770561433317,1,4,4
113,2886729730,12,0.7777777777777778,12964.0,0.0009256402344955261,0,0,0
126,2886729746,11,0.7962962962962963,12848.0,0.0008561643835616438,1,4,4
102,167772167,11,0.7924528301886793,9686.0,0.0011356597150526534,0,0,0
141,3405803815,7,0.8852459016393442,9787.0,0.0007152344947379177,0,3,3
17,3405803816,13,0.6176470588235294,9875.0,0.0013164556962025316,0,3,3
114,3405803797,7,0.8478260869565217,9834.0,0.0007118161480577588,0,3,3
106,167772195,9,0.7804878048780488,9599.0,0.0009375976664235858,0,0,0
135,167772194,9,0.8615384615384616,9957.0,0.0009038867128653209,0,0,0
157,3232235782,10,0.8214285714285714,27325.0,0.00036596523330283625,0,0,0
61,3405803806,14,0.6818181818181818,9718.0,0.0014406256431364478,0,3,3
3,167772209,11,0.75,9056.0,0.0012146643109540636,0,0,0
2,2886729737,9,0.8333333333333334,27344.0,0.0003291398478642481,0,0,0
192,2886729749,13,0.8,9823.0,0.001323424615697852,0,0,0
178,167772179,5,0.8809523809523809,9657.0,0.0005177591384487936,0,0,0
129,167772173,5,0.8837209302325582,9502.0,0.0005262050094716902,0,0,0
78,167772182,6,0.8571428571428571,9934.0,0.0006039863096436481,0,0,0
9,2886729767,7,0.8333333333333334,9494.0,0.0007373077733305245,0,0,0
152,2886729754,11,0.78,12852.0,0.0008558979147214441,0,0,0
173,3232235814,21,0.6440677966101694,12876.0,0.0016309412861137,1,4,4
36,2886729769,12,0.7391304347826086,9480.0,0.0012658227848101266,0,0,0
190,3405803814,18,0.7096774193548387,9501.0,0.001894537417113988,0,3,3
83,167772175,15,0.7457627118644068,9533.0,0.001573481590265394,0,0,0
73,2886729763,18,0.6727272727272727,12433.0,0.0014477599935655112,0,0,0
41,3405803807,15,0.7058823529411765,9686.0,0.001548626884162709,0,3,3
142,3232235783,7,0.8771929824561403,9555.0,0.0007326007326007326,0,0,0
90,167772184,3,0.925,9523.0,0.0003150267772760685,0,0,0
179,167772175,6,0.8695652173913043,27327.0,0.0002195630694917115,0,0,0
122,167772180,7,0.8870967741935484,9787.0,0.0007152344947379177,0,0,0
162,167772167,8,0.84,27271.0,0.0002933519122877782,0,0,0
110,2886729745,19,0.6935483870967742,12739.0,0.0014914828479472486,0,0,0
55,3232235823,17,0.6666666666666666,9763.0,0.0017412680528526069,0,0,0
