用户ID,登录时间,登录地址,登录资源,登录结果,登录成功,时间差,登录小时,规则异常,异常类型,登录失败次数,登录成功率,平均登录间隔,模型异常,是否异常
unknown_user,2023-01-25 00:00:00,192.168.1.5,server2,failure,0,,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:01:00,198.51.100.27,server2,success,1,60.0,0,1,"同账号多地址登录, 未知用户尝试, 非正常源地址登录",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:02:00,10.0.0.20,server1,success,1,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:03:00,172.16.0.40,server1,failure,0,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:04:00,172.16.0.44,server2,failure,0,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:05:00,172.16.0.41,server1,success,1,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:06:00,203.0.113.36,server3,failure,0,60.0,0,1,"同账号多地址登录, 未知用户尝试, 非正常源地址登录",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:07:00,192.168.1.41,server3,failure,0,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:08:00,192.168.1.41,server2,failure,0,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:09:00,192.168.1.8,server1,failure,0,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:10:00,203.0.113.17,server2,success,1,60.0,0,1,"同账号多地址登录, 未知用户尝试, 非正常源地址登录",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:11:00,192.168.1.18,server1,failure,0,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:12:00,192.168.1.8,server2,failure,0,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:13:00,172.16.0.36,server3,success,1,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:14:00,203.0.113.8,server2,failure,0,60.0,0,1,"同账号多地址登录, 未知用户尝试, 非正常源地址登录",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:15:00,10.0.0.36,server3,success,1,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:16:00,172.16.0.20,server3,success,1,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:17:00,172.16.0.27,server3,success,1,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:18:00,203.0.113.11,server2,success,1,60.0,0,1,"同账号多地址登录, 未知用户尝试, 非正常源地址登录",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:19:00,192.168.1.49,server2,failure,0,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:20:00,203.0.113.15,server2,failure,0,60.0,0,1,"同账号多地址登录, 未知用户尝试, 非正常源地址登录",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:21:00,198.51.100.7,server3,success,1,60.0,0,1,"同账号多地址登录, 未知用户尝试, 非正常源地址登录",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:22:00,198.51.100.47,server2,success,1,60.0,0,1,"同账号多地址登录, 未知用户尝试, 非正常源地址登录",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:23:00,203.0.113.3,server1,success,1,60.0,0,1,"同账号多地址登录, 未知用户尝试, 非正常源地址登录",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:24:00,192.168.1.35,server3,failure,0,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:25:00,192.168.1.1,server1,failure,0,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:26:00,172.16.0.10,server2,failure,0,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:27:00,203.0.113.38,server3,failure,0,60.0,0,1,"同账号多地址登录, 未知用户尝试, 非正常源地址登录",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:28:00,192.168.1.7,server1,success,1,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:29:00,10.0.0.30,server1,failure,0,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:30:00,192.168.1.49,server2,success,1,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:31:00,198.51.100.17,server2,success,1,60.0,0,1,"同账号多地址登录, 未知用户尝试, 非正常源地址登录",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:32:00,192.168.1.26,server3,failure,0,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:33:00,192.168.1.39,server3,failure,0,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:34:00,172.16.0.20,server1,failure,0,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:35:00,10.0.0.2,server3,failure,0,60.0,0,1,"同账号多地址登录, 未知用户尝试",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
unknown_user,2023-01-25 00:36:00,198.51.100.30,server1,failure,0,60.0,0,1,"频繁登录失败, 同账号多地址登录, 未知用户尝试, 非正常源地址登录",3.4609497324802634,-4.102256449658762,-1.9737166595079392,-1,1
