编号,时间,用户,资源类型,资源IP,资源账号,登录协议,操作命令列表
1,2024-04-02 12:57:50,user_1,Server,192.168.4.20,user_7,RDP,"scp file.txt user@192.168.1.100:/home/, exit, sudo apt update, rm -rf /tmp/*, systemctl restart apache2"
2,2024-01-16 07:38:46,user_4,Router,192.168.3.131,user_10,Telnet,"rm -rf /tmp/*, systemctl restart apache2, ls -la, sudo apt update, scp file.txt user@192.168.1.100:/home/"
3,2024-10-04 06:47:57,user_8,Server,192.168.4.131,user_4,RDP,"cat /etc/passwd, systemctl restart apache2"
4,2024-07-21 16:15:38,user_8,Database,192.168.1.184,user_1,RDP,sudo apt update
5,2024-10-31 16:23:59,user_4,Switch,192.168.2.21,user_7,HTTP,rm -rf /tmp/*
6,2024-10-31 04:30:29,user_5,Server,192.168.2.236,user_7,Telnet,"cat /etc/passwd, systemctl restart apache2, sudo apt update, exit, rm -rf /tmp/*"
7,2024-11-09 00:49:41,user_3,Server,192.168.4.253,user_9,HTTP,rm -rf /tmp/*
8,2024-01-01 14:11:25,user_8,Router,192.168.1.42,user_5,HTTP,ls -la
9,2024-03-09 23:19:03,user_4,Router,192.168.2.61,user_2,HTTP,scp file.txt user@192.168.1.100:/home/
10,2024-02-16 21:36:42,user_9,Server,192.168.4.99,user_5,HTTP,"sudo apt update, cat /etc/passwd, systemctl restart apache2, rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/"
11,2024-11-18 21:05:57,user_5,Database,192.168.1.35,user_4,HTTP,"sudo apt update, rm -rf /tmp/*, ls -la"
12,2024-09-27 05:18:08,user_7,Router,192.168.4.10,user_6,HTTP,"scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, exit, cat /etc/passwd"
13,2024-10-18 23:27:21,user_5,Server,192.168.4.120,user_7,RDP,"rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/"
14,2024-04-18 17:37:01,user_9,Router,192.168.3.244,user_9,HTTP,"cat /etc/passwd, exit, systemctl restart apache2, ls -la, scp file.txt user@192.168.1.100:/home/"
15,2024-05-20 00:47:49,user_6,Database,192.168.2.36,user_4,SSH,"scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, rm -rf /tmp/*, sudo apt update, cat /etc/passwd"
16,2024-03-02 15:32:20,user_9,Database,192.168.3.171,user_6,HTTP,"sudo apt update, systemctl restart apache2, rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/"
17,2024-04-11 03:06:02,user_3,Database,192.168.4.88,user_6,SSH,"rm -rf /tmp/*, exit"
18,2024-11-19 03:38:08,user_9,Router,192.168.3.163,user_4,SSH,"exit, scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, sudo apt update"
19,2024-08-20 18:10:48,user_8,Switch,192.168.2.169,user_6,Telnet,rm -rf /tmp/*
20,2024-05-19 17:27:35,user_1,Switch,192.168.1.55,user_2,Telnet,rm -rf /tmp/*
21,2024-03-05 14:02:33,user_1,Server,192.168.1.15,user_1,HTTP,"scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, exit, systemctl restart apache2, ls -la"
